from_name,to_name,name
鸡冠花,涩,味道为
金樱子,甜,味道为
大马蹄草,辛,味道为
一点红,酸,味道为
女贞子,苦,味道为
旱莲花,酸,味道为
杜仲,甜,味道为
灵芝,辣,味道为
仙茅,辣,味道为
枸杞,甜,味道为
韭菜子,甜,味道为
酸咪咪,酸,味道为
续断,甜,味道为
牛膝,酸,味道为
狗脊,苦,味道为
万寿竹,淡,味道为
五味子,辛,味道为
凉粉茶,辛,味道为
榴木,辣,味道为
佩兰,辛,味道为
狗肝菜,辛,味道为
淡竹叶,淡,味道为
苣仁米,淡,味道为
鸭跖草,淡,味道为
车前子,甜,味道为
远志,苦,味道为
芥白,苦,味道为
虎杖,苦,味道为
天麻,淡,味道为
钩藤,甜,味道为
草决明,苦,味道为
三叶草,苦,味道为
鸡血藤,甜,味道为
黑骨藤,苦,味道为
木姜子叶,辛,味道为
大血藤,苦,味道为
鸡矢藤,甜,味道为
苍耳,苦,味道为
姜黄,辣,味道为
夜交藤,甜,味道为
桑募,甜,味道为
斑鸠窝,苦,味道为
瓜子金,苦,味道为
地龙,辣,味道为
益母草,苦,味道为
桑寄生,苦,味道为
仙人掌,苦,味道为
野薄荷,辛,味道为
当归,辛,味道为
川楝,苦,味道为
茯荟,甜,味道为
灯心草,淡,味道为
红禾麻,苦,味道为
乌梢蛇,辛,味道为
螟蚣,辛,味道为
水冬瓜皮,辛,味道为
鲜桑叶,苦,味道为
鱼瞅串,苦,味道为
马齿竟,酸,味道为
苦参,苦,味道为
南蛇藤,辣,味道为
马齿菟,酸,味道为
满天星,淡,味道为
土大黄粉,苦,味道为
大黄,苦,味道为
九里光,辣,味道为
青蒿,苦,味道为
元宝草,苦,味道为
莓草,苦,味道为
侧柏叶,苦,味道为
铁包金,苦,味道为
地肤子,苦,味道为
泽兰,苦,味道为
地蜂子,苦,味道为
木槿花,苦,味道为
茜草炭,酸,味道为
仙桃草,甜,味道为
侧柏,苦,味道为
雪莲花,苦,味道为
龙葵,苦,味道为
蛇莓,苦,味道为
郁金,苦,味道为
还魂草,辛,味道为
透骨香,辣,味道为
追风散,辣,味道为
八角枫,辣,味道为
威灵仙,辣,味道为
水冬瓜,辛,味道为
豬荟草,苦,味道为
草乌,辣,味道为
三角风,苦,味道为
一枝黄花,苦,味道为
蛇莲,苦,味道为
伸筋草,甜,味道为
金丝桃,苦,味道为
骨碎朴,辣,味道为
冬葵,苦,味道为
地丁,苦,味道为
山蚂蝗,苦,味道为
大青木,苦,味道为
苍耳子,苦,味道为
九头狮子草,苦,味道为
冬葵根,苦,味道为
升麻,辛,味道为
白折耳,酸,味道为
律草,苦,味道为
地枇杷,苦,味道为
地苞,淡,味道为
野花椒,辣,味道为
浮萍,辛,味道为
万年青,辛,味道为
岩豆,苦,味道为
八角莲,苦,味道为
白英,苦,味道为
谷精草,辛,味道为
鲜花脸七根,酸,味道为
花脸七,酸,味道为
金养麦,酸,味道为
小夜关门,苦,味道为
意茵根,淡,味道为
乌梅,淡,味道为
